name,住所,lat,lon,種別,備考
江南総合グラウンド,熊谷市押切2436,36.118946,139.337611,指定緊急避難場所(一時避難場所),【洪水時】〇、【地震時】○
江南総合公園,熊谷市板井377-1,36.108919,139.308365,指定緊急避難場所(広域避難場所),【洪水時】〇、【地震時】○
江南北小学校,熊谷市三本359,36.128035,139.336035,指定避難所兼指定緊急避難場所(第一避難所),【洪水時】〇、【地震時】○
江南南小学校,熊谷市小江川1881,36.1072035,139.3346382,指定避難所兼指定緊急避難場所(第一避難所),"【洪水時】〇、
【地震時】〇※土砂災害に関する指定緊急避難場所(兼 指定避難所兼指定緊急避難場所)を兼ねる"
江南中学校,熊谷市江南中央2-1-1,36.1160825,139.3369627,指定避難所兼指定緊急避難場所(第二避難所),【洪水時】〇、【地震時】○
江南保育所,熊谷市千代323-1,36.1179989,139.3348433,指定避難所兼指定緊急避難場所(第二避難所),【洪水時】〇、【地震時】○
江南体育館,熊谷市江南中央2-3-1,36.1152632,139.3364822,指定避難所兼指定緊急避難場所(第二避難所),【洪水時】〇、【地震時】×
江南農業総合センタ-,熊谷市成沢465-1,36.1270639,139.3457563,指定避難所兼指定緊急避難場所(第二避難所),【洪水時】〇、【地震時】×
江南農業研修センタ-,熊谷市板井671,36.1080174,139.3187865,指定避難所兼指定緊急避難場所(第二避難所),【洪水時】〇、【地震時】×
江南農村センタ-,熊谷市小江川1936-1,36.1048872,139.3325524,指定避難所兼指定緊急避難場所(第二避難所),【洪水時】〇、【地震時】×
江南コミュニティセンタ-,熊谷市成沢1138-1,36.1152601,139.3522509,指定避難所兼指定緊急避難場所(第二避難所),【洪水時】〇、【地震時】○
江南南児童クラブ,熊谷市須賀広599-1,36.106834,139.3360243,指定避難所兼指定緊急避難場所(第二避難所),【洪水時】〇、【地震時】○
江南総合文化会館「ピピア」(自主避難所),熊谷市千代325-1,36.1177823,139.3337072,指定避難所兼指定緊急避難場所(第二避難所),【洪水時】〇、【地震時】○
成沢会議所,熊谷市成沢348-1,36.1243005,139.3449148,指定避難所兼指定緊急避難場所(第二避難所),【洪水時】〇、【地震時】×
三本集会所,熊谷市三本717,36.129696,139.330612,指定避難所兼指定緊急避難場所(第二避難所),【洪水時】〇、【地震時】○
上新田集会所,熊谷市上新田227,36.131485,139.318231,指定避難所兼指定緊急避難場所(第二避難所),【洪水時】〇、【地震時】×
上押切集会所,熊谷市押切1056-1,36.134134,139.32378,指定避難所兼指定緊急避難場所(第二避難所),【洪水時】×、【地震時】○
下押切集会所,熊谷市押切313-3,36.1335324,139.3402062,指定避難所兼指定緊急避難場所(第二避難所),【洪水時】〇、【地震時】○
樋春集会所,熊谷市樋春1023-1,36.132631,139.349547,指定避難所兼指定緊急避難場所(第二避難所),【洪水時】〇、【地震時】×
樋春南集会所,熊谷市樋春555,36.1286192,139.3517227,指定避難所兼指定緊急避難場所(第二避難所),【洪水時】〇、【地震時】×
御正新田生活改善センタ-,熊谷市御正新田453-1,36.1234144,139.3528673,指定避難所兼指定緊急避難場所(第二避難所),【洪水時】〇、【地震時】×
大坂集会所,熊谷市御正新田1321-1,36.1166488,139.3609199,指定避難所兼指定緊急避難場所(第二避難所),【洪水時】〇、【地震時】×
須賀広集落センタ-,熊谷市須賀広243-1,36.1059035,139.3419684,指定避難所兼指定緊急避難場所(第二避難所),【洪水時】〇、【地震時】×
野原集会所,熊谷市野原622-1,36.1040395,139.364098,指定避難所兼指定緊急避難場所(第二避難所),【洪水時】〇、【地震時】×
野原西部集会所,熊谷市野原66-3,36.1036813,139.3524374,指定避難所兼指定緊急避難場所(第二避難所),【洪水時】×、【地震時】○
小江川集落センタ-,熊谷市小江川1403,36.1003684,139.3344164,指定避難所兼指定緊急避難場所(第二避難所),【洪水時】〇、【地震時】×
塩集会所,熊谷市塩142-1,36.102947,139.318003,指定避難所兼指定緊急避難場所(第二避難所),【洪水時】〇、【地震時】×
パ-クシティ集会所,熊谷市押切2653-95,36.111076,139.336626,指定避難所兼指定緊急避難場所(第二避難所),【洪水時】〇、【地震時】○
老人福祉センタ-　江南荘,熊谷市千代118,36.1249283,139.3315208,福祉避難所,
ダイアナデイサ-ビスセンタ-,熊谷市野原461-7,36.1019537,139.3610204,福祉避難所,
軽費老人ホ-ム　武蔵野ユ-トピアダイアナクラブ,熊谷市小江川1396,36.0994991,139.3344081,福祉避難所,
特別養護老人ホ-ム　虹の郷,熊谷市野原461-3,36.101898,139.360362,福祉避難所,
障害者支援施設　熊谷,熊谷市野原1064-1,36.10066,139.37209,福祉避難所,
障害者支援施設　江南愛の家,熊谷市野原245,36.10837,139.35512,福祉避難所,
障害者就労継続支援施設(B型)事業所　おにっこハウス　,熊谷市板井1220-1,36.11149,139.31555,福祉避難所,
妻沼消防署北広場,熊谷市妻沼1720,36.22266,139.374394,指定緊急避難場所(一時避難場所),【洪水時】×、【地震時】〇
妻沼東運動公園,熊谷市上須戸952-1,36.206294,139.399598,指定緊急避難場所(一時避難場所),【洪水時】×、【地震時】〇
さくら公園,熊谷市妻沼1720-4,36.222263,139.3752,指定緊急避難場所(一時避難場所),【洪水時】×、【地震時】〇
妻沼運動公園,熊谷市飯塚200-1,36.224975,139.357981,指定緊急避難場所(広域避難場所),【洪水時】×、【地震時】〇
妻沼小学校,熊谷市妻沼1492,36.2293866,139.3780212,指定避難所兼指定緊急避難場所(第一避難所),【洪水時】〇(2階以上)、【地震時】〇
男沼小学校,熊谷市妻沼台137-1,36.2350665,139.353262,指定避難所兼指定緊急避難場所(第一避難所),【洪水時】〇(2階以上)、【地震時】〇
太田小学校,熊谷市八木田5,36.2160654,139.3521937,指定避難所兼指定緊急避難場所(第一避難所),【洪水時】〇、【地震時】〇
長井小学校,熊谷市上根358,36.2098917,139.3874354,指定避難所兼指定緊急避難場所(第一避難所),【洪水時】〇(2階以上)、【地震時】〇
秦小学校,熊谷市葛和田831,36.2057515,139.4199818,指定避難所兼指定緊急避難場所(第一避難所),【洪水時】〇(3階以上)、【地震時】〇
妻沼南小学校,熊谷市弥藤吾704,36.2152408,139.3718671,指定避難所兼指定緊急避難場所(第一避難所),【洪水時】〇(2階以上)、【地震時】〇
小島小学校･小島中学校,熊谷市妻沼小島2111,36.2509817,139.3550855,指定避難所兼指定緊急避難場所(第一避難所),【洪水時】×、【地震時】〇
妻沼西中学校,熊谷市弥藤吾2359-2,36.226159,139.3644532,指定避難所兼指定緊急避難場所(第二避難所),【洪水時】〇(2階以上)、【地震時】〇
妻沼東中学校,熊谷市妻沼430-1,36.2238762,139.3868791,指定避難所兼指定緊急避難場所(第二避難所),【洪水時】〇(3階以上)、【地震時】〇
めぬま農業研修センター(自主避難所),熊谷市弥藤吾2440,36.224329,139.368217,指定避難所兼指定緊急避難場所(第二避難所),【洪水時】〇(2階以上)、【地震時】〇
妻沼高等学校,熊谷市弥藤吾480,36.2159798,139.3821189,指定避難所兼指定緊急避難場所(第二避難所),【洪水時】〇(2階以上)、【地震時】〇
妻沼中央公民館,熊谷市妻沼東1-1,36.2230206,139.381949,指定避難所兼指定緊急避難場所(第二避難所),【洪水時】〇(2階以上)、【地震時】×
太田公民館,熊谷市飯塚1410-1,36.2172014,139.3513354,指定避難所兼指定緊急避難場所(第二避難所),【洪水時】×、【地震時】〇
妻沼児童館,熊谷市弥藤吾692-1,36.2155908,139.3735419,指定避難所兼指定緊急避難場所(第二避難所),【洪水時】×、【地震時】〇
